cancer,model,seed,cindex
LUSC,CoxRidge,3,0.3333333333333333
LUSC,CoxRidge,4,1.0
LUSC,CoxRidge,5,1.0
LUSC,CoxRidge,6,0.6666666666666666
LUSC,CoxRidge,7,0.3333333333333333
LUSC,CoxRidge,8,0.0
LUSC,CoxRidge,9,0.4
LUSC,Coxnnet,0,0.3333333333333333
LUSC,Coxnnet,1,1.0
LUSC,Coxnnet,2,0.8
LUSC,Coxnnet,3,0.0
LUSC,Coxnnet,4,1.0
LUSC,Coxnnet,5,1.0
LUSC,Coxnnet,6,0.3333333333333333
LUSC,Coxnnet,7,0.0
LUSC,Coxnnet,8,0.75
LUSC,Coxnnet,9,0.0
LUSC,CoxMLP,0,0.16666666666666666
LUSC,CoxMLP,1,1.0
LUSC,CoxMLP,2,0.6
LUSC,CoxMLP,3,0.0
LUSC,CoxMLP,4,1.0
LUSC,CoxMLP,5,1.0
LUSC,CoxMLP,6,0.6666666666666666
LUSC,CoxMLP,7,0.3333333333333333
LUSC,CoxMLP,8,0.75
LUSC,CoxMLP,9,0.2
LUSC,VAECox,0,0.3333333333333333
LUSC,VAECox,1,1.0
LUSC,VAECox,2,0.0
LUSC,VAECox,3,0.0
LUSC,VAECox,4,1.0
LUSC,VAECox,5,1.0
LUSC,VAECox,6,0.3333333333333333
LUSC,VAECox,7,0.0
LUSC,VAECox,8,0.75
LUSC,VAECox,9,0.0
OV,CoxLasso,0,0.6
OV,CoxLasso,1,0.13333333333333333
OV,CoxLasso,2,0.16666666666666666
OV,CoxLasso,3,0.4
OV,CoxLasso,4,0.3333333333333333
OV,CoxLasso,5,0.5
OV,CoxLasso,6,0.2
OV,CoxLasso,7,0.0
OV,CoxLasso,8,0.8181818181818182
OV,CoxLasso,9,0.5
OV,CoxRidge,0,0.5
OV,CoxRidge,1,0.4666666666666667
OV,CoxRidge,2,0.16666666666666666
OV,CoxRidge,3,0.3
OV,CoxRidge,4,0.3333333333333333
OV,CoxRidge,5,0.6
OV,CoxRidge,6,0.2
OV,CoxRidge,7,0.16666666666666666
OV,CoxRidge,8,0.7272727272727273
OV,CoxRidge,9,0.5
OV,Coxnnet,0,0.4
OV,Coxnnet,1,0.6666666666666666
OV,Coxnnet,2,0.3333333333333333
OV,Coxnnet,3,0.1
OV,Coxnnet,4,0.4444444444444444
OV,Coxnnet,5,0.6
OV,Coxnnet,6,0.7333333333333333
OV,Coxnnet,7,0.3333333333333333
OV,Coxnnet,8,0.6363636363636364
OV,Coxnnet,9,0.5
OV,CoxMLP,0,0.6
OV,CoxMLP,1,0.6
OV,CoxMLP,2,0.3333333333333333
OV,CoxMLP,3,0.3
OV,CoxMLP,4,0.6666666666666666
OV,CoxMLP,5,0.7
OV,CoxMLP,6,0.6666666666666666
OV,CoxMLP,7,0.5
OV,CoxMLP,8,0.7272727272727273
OV,CoxMLP,9,0.5
OV,VAECox,0,0.7
OV,VAECox,1,0.5333333333333333
OV,VAECox,2,0.16666666666666666
OV,VAECox,3,0.2
OV,VAECox,4,0.5555555555555556
OV,VAECox,5,0.8
OV,VAECox,6,0.8
OV,VAECox,7,0.8333333333333334
OV,VAECox,8,0.9090909090909091
OV,VAECox,9,0.4
STAD,CoxLasso,0,0.42857142857142855
STAD,CoxLasso,1,0.6666666666666666
STAD,CoxLasso,2,1.0
STAD,CoxLasso,3,0.8
STAD,CoxLasso,4,1.0
STAD,CoxLasso,5,1.0
STAD,CoxLasso,6,0.75
STAD,CoxLasso,7,1.0
STAD,CoxLasso,8,
STAD,CoxLasso,9,1.0
STAD,CoxRidge,0,0.42857142857142855
STAD,CoxRidge,1,0.6666666666666666
STAD,CoxRidge,2,1.0
STAD,CoxRidge,3,0.8
STAD,CoxRidge,4,1.0
STAD,CoxRidge,5,1.0
STAD,CoxRidge,6,0.75
STAD,CoxRidge,7,1.0
STAD,CoxRidge,8,
STAD,CoxRidge,9,1.0
STAD,Coxnnet,0,0.5714285714285714
STAD,Coxnnet,1,0.6666666666666666
STAD,Coxnnet,2,1.0
STAD,Coxnnet,3,0.6
STAD,Coxnnet,4,0.75
STAD,Coxnnet,5,1.0
STAD,Coxnnet,6,1.0
STAD,Coxnnet,7,0.3333333333333333
STAD,Coxnnet,8,
STAD,Coxnnet,9,0.0
STAD,CoxMLP,0,0.5714285714285714
STAD,CoxMLP,1,0.6666666666666666
STAD,CoxMLP,2,1.0
STAD,CoxMLP,3,0.6
STAD,CoxMLP,4,0.5
STAD,CoxMLP,5,1.0
STAD,CoxMLP,6,1.0
STAD,CoxMLP,7,0.3333333333333333
STAD,CoxMLP,8,
STAD,CoxMLP,9,0.0
STAD,VAECox,0,1.0
STAD,VAECox,1,0.6666666666666666
STAD,VAECox,2,1.0
STAD,VAECox,3,1.0
STAD,VAECox,4,0.75
STAD,VAECox,5,0.5
STAD,VAECox,6,1.0
STAD,VAECox,7,1.0
STAD,VAECox,8,
STAD,VAECox,9,0.6666666666666666
