cancer,model,seed,cindex
LIHC,CoxRidge,1,0.5745654162854529
LIHC,CoxRidge,2,0.7563451776649747
LIHC,CoxRidge,3,0.7652081109925294
LIHC,CoxRidge,4,0.7289586305278174
LIHC,CoxRidge,5,0.6852035749751738
LIHC,CoxRidge,6,0.7311089303238469
LIHC,CoxRidge,7,0.6755602988260405
LIHC,CoxRidge,8,0.6625659050966608
LIHC,CoxRidge,9,0.6769102990033222
LIHC,Coxnnet,0,0.7059961315280464
LIHC,Coxnnet,1,0.666971637694419
LIHC,Coxnnet,2,0.7634517766497462
LIHC,Coxnnet,3,0.7449306296691569
LIHC,Coxnnet,4,0.6690442225392297
LIHC,Coxnnet,5,0.7269116186693148
LIHC,Coxnnet,6,0.7899901864573111
LIHC,Coxnnet,7,0.7150480256136607
LIHC,Coxnnet,8,0.7258347978910369
LIHC,Coxnnet,9,0.7433554817275747
LIHC,CoxMLP,0,0.6740812379110251
LIHC,CoxMLP,1,0.6322049405306496
LIHC,CoxMLP,2,0.7299492385786802
LIHC,CoxMLP,3,0.6979722518676628
LIHC,CoxMLP,4,0.5991440798858774
LIHC,CoxMLP,5,0.7368421052631579
LIHC,CoxMLP,6,0.7536800785083415
LIHC,CoxMLP,7,0.6093916755602988
LIHC,CoxMLP,8,0.7486818980667839
LIHC,CoxMLP,9,0.7483388704318937
LIHC,VAECox,0,0.7205029013539652
LIHC,VAECox,1,0.6514181152790485
LIHC,VAECox,2,0.766497461928934
LIHC,VAECox,3,0.7182497331910352
LIHC,VAECox,4,0.6904422253922967
LIHC,VAECox,5,0.7646474677259185
LIHC,VAECox,6,0.7566241413150148
LIHC,VAECox,7,0.7086446104589115
LIHC,VAECox,8,0.7407732864674869
LIHC,VAECox,9,0.7840531561461794
LUAD,CoxLasso,0,0.6591111111111111
LUAD,CoxLasso,1,0.5513895015438907
LUAD,CoxLasso,2,0.6272235112142305
LUAD,CoxLasso,3,0.6433476394849785
LUAD,CoxLasso,4,0.642354124748491
LUAD,CoxLasso,5,0.5801452784503632
LUAD,CoxLasso,6,0.5671021377672208
LUAD,CoxLasso,7,0.5981905268759978
LUAD,CoxLasso,8,0.5994222436206067
LUAD,CoxLasso,9,0.6209349593495935
LUAD,CoxRidge,0,0.6675555555555556
LUAD,CoxRidge,1,0.565063961182179
LUAD,CoxRidge,2,0.6094354215003867
LUAD,CoxRidge,3,0.6463519313304721
LUAD,CoxRidge,4,0.6373239436619719
LUAD,CoxRidge,5,0.6
LUAD,CoxRidge,6,0.5908551068883611
LUAD,CoxRidge,7,0.6045769026077701
LUAD,CoxRidge,8,0.6138661531054406
LUAD,CoxRidge,9,0.6199186991869918
LUAD,Coxnnet,0,0.6644444444444444
LUAD,Coxnnet,1,0.5619761799735333
LUAD,Coxnnet,2,0.6044083526682135
LUAD,Coxnnet,3,0.6540772532188841
LUAD,Coxnnet,4,0.6287726358148893
LUAD,Coxnnet,5,0.6169491525423729
LUAD,Coxnnet,6,0.6068883610451307
LUAD,Coxnnet,7,0.6482171367748802
LUAD,Coxnnet,8,0.613384689455946
LUAD,Coxnnet,9,0.6686991869918699
LUAD,CoxMLP,0,0.6493333333333333
LUAD,CoxMLP,1,0.5443317159241288
LUAD,CoxMLP,2,0.5680587780355761
LUAD,CoxMLP,3,0.6862660944206008
LUAD,CoxMLP,4,0.6408450704225352
LUAD,CoxMLP,5,0.6561743341404358
LUAD,CoxMLP,6,0.6781472684085511
LUAD,CoxMLP,7,0.6343799893560405
LUAD,CoxMLP,8,0.6562349542609534
LUAD,CoxMLP,9,0.6844512195121951
LUAD,VAECox,0,0.6631111111111111
LUAD,VAECox,1,0.6034406704896339
LUAD,VAECox,2,0.5862335653518949
LUAD,VAECox,3,0.6682403433476395
LUAD,VAECox,4,0.6544265593561368
LUAD,VAECox,5,0.6092009685230024
LUAD,VAECox,6,0.5991686460807601
LUAD,VAECox,7,0.6854709952102181
LUAD,VAECox,8,0.6682715454983149
LUAD,VAECox,9,0.665650406504065
LUSC,CoxLasso,0,0.5355171144644829
LUSC,CoxLasso,1,0.48863636363636365
LUSC,CoxLasso,2,0.5267734553775744
LUSC,CoxLasso,3,0.5431553592934565
LUSC,CoxLasso,4,0.4917431192660551
LUSC,CoxLasso,5,0.4872915011914218
LUSC,CoxLasso,6,0.4634713820381573
LUSC,CoxLasso,7,0.4709066305818674
LUSC,CoxLasso,8,0.4724770642201835
LUSC,CoxLasso,9,0.5773809523809523
LUSC,CoxRidge,0,0.5163783584836217
LUSC,CoxRidge,1,0.5011363636363636
LUSC,CoxRidge,2,0.4842105263157895
LUSC,CoxRidge,3,0.5375351264552388
LUSC,CoxRidge,4,0.5143730886850153
LUSC,CoxRidge,5,0.46505162827640983
LUSC,CoxRidge,6,0.4685900418799442
LUSC,CoxRidge,7,0.4330175913396482
LUSC,CoxRidge,8,0.5752293577981651
LUSC,CoxRidge,9,0.5357142857142857
LUSC,Coxnnet,0,0.5355171144644829
LUSC,Coxnnet,1,0.43522727272727274
LUSC,Coxnnet,2,0.48787185354691076
LUSC,Coxnnet,3,0.47852268165395423
LUSC,Coxnnet,4,0.4941896024464832
LUSC,Coxnnet,5,0.43050039714058774
LUSC,Coxnnet,6,0.46486738017682644
LUSC,Coxnnet,7,0.4754172304916554
LUSC,Coxnnet,8,0.49128440366972476
LUSC,Coxnnet,9,0.49074074074074076
LUSC,CoxMLP,0,0.5112256164887744
LUSC,CoxMLP,1,0.5306818181818181
LUSC,CoxMLP,2,0.5107551487414188
LUSC,CoxMLP,3,0.4961862705740666
LUSC,CoxMLP,4,0.46116207951070337
LUSC,CoxMLP,5,0.4996028594122319
LUSC,CoxMLP,6,0.48348068869241506
LUSC,CoxMLP,7,0.5308976093820478
LUSC,CoxMLP,8,0.5403669724770642
LUSC,CoxMLP,9,0.5201719576719577
LUSC,VAECox,0,0.5038645564961355
LUSC,VAECox,1,0.45606060606060606
LUSC,VAECox,2,0.5107551487414188
LUSC,VAECox,3,0.48334002408671217
LUSC,VAECox,4,0.5064220183486239
LUSC,VAECox,5,0.4988085782366958
LUSC,VAECox,6,0.49139134481154023
LUSC,VAECox,7,0.4961659900766802
LUSC,VAECox,8,0.5137614678899083
LUSC,VAECox,9,0.4937169312169312
OV,CoxLasso,0,0.6081229418221734
OV,CoxLasso,1,0.5945205479452055
OV,CoxLasso,2,0.6216216216216216
OV,CoxLasso,3,0.5490009514747859
OV,CoxLasso,4,0.5215723873441994
OV,CoxLasso,5,0.5709001233045623
OV,CoxLasso,6,0.5641025641025641
OV,CoxLasso,7,0.6254589963280294
OV,CoxLasso,8,0.5460852329038652
OV,CoxLasso,9,0.6171284634760705
OV,CoxRidge,0,0.6048298572996706
OV,CoxRidge,1,0.5972602739726027
OV,CoxRidge,2,0.6216216216216216
OV,CoxRidge,3,0.544243577545195
OV,CoxRidge,4,0.5196548418024928
OV,CoxRidge,5,0.5733662145499383
OV,CoxRidge,6,0.5641025641025641
OV,CoxRidge,7,0.6230110159118727
OV,CoxRidge,8,0.5500495540138751
OV,CoxRidge,9,0.6246851385390428
OV,Coxnnet,0,0.5916575192096597
OV,Coxnnet,1,0.6273972602739726
OV,Coxnnet,2,0.6448948948948949
OV,Coxnnet,3,0.5280685061845861
OV,Coxnnet,4,0.49952061361457334
OV,Coxnnet,5,0.5400739827373613
OV,Coxnnet,6,0.5528205128205128
OV,Coxnnet,7,0.5691554467564259
OV,Coxnnet,8,0.557978196233895
OV,Coxnnet,9,0.6486146095717884
OV,CoxMLP,0,0.6114160263446762
OV,CoxMLP,1,0.5963470319634703
OV,CoxMLP,2,0.6276276276276276
OV,CoxMLP,3,0.5585156993339676
OV,CoxMLP,4,0.5215723873441994
OV,CoxMLP,5,0.5635018495684341
OV,CoxMLP,6,0.5343589743589744
OV,CoxMLP,7,0.5716034271725826
OV,CoxMLP,8,0.5431119920713577
OV,CoxMLP,9,0.6234256926952141
OV,VAECox,0,0.6026344676180022
OV,VAECox,1,0.6292237442922375
OV,VAECox,2,0.6501501501501501
OV,VAECox,3,0.5651760228353948
OV,VAECox,4,0.5714285714285714
OV,VAECox,5,0.5561035758323057
OV,VAECox,6,0.5384615384615384
OV,VAECox,7,0.6242350061199511
OV,VAECox,8,0.49157581764122893
OV,VAECox,9,0.6347607052896725
STAD,CoxLasso,0,0.5633626097867002
STAD,CoxLasso,1,0.484472049689441
STAD,CoxLasso,2,0.5312724658519051
STAD,CoxLasso,3,0.37875939849624063
STAD,CoxLasso,4,0.4886113152094049
STAD,CoxLasso,5,0.5480153649167734
STAD,CoxLasso,6,0.4913669064748201
STAD,CoxLasso,7,0.5450746268656717
STAD,CoxLasso,8,0.49158249158249157
STAD,CoxLasso,9,0.5749216300940438
STAD,CoxRidge,0,0.5639899623588457
STAD,CoxRidge,1,0.549344375431332
STAD,CoxRidge,2,0.5132997843278218
STAD,CoxRidge,3,0.37593984962406013
STAD,CoxRidge,4,0.4790595150624541
STAD,CoxRidge,5,0.4910371318822023
